[0;32mI (19152) app_main: t=1605354878 138142000[0m
[0;32mI (20142) app_main: t=1605354879 128142000[0m
[0;32mI (21132) app_main: t=1605354880 118142000[0m
RX 20990205 5914599 5914595 S 0
Code S0b1s0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1 ok 0
RX 20990450 245 245 b 1
RX 20991770 1320 1320 a 0
RX 20992004 234 230 b 1
RX 20992307 303 300 b 0
RX 20992535 228 225 b 1
RX 20993879 1344 1340 a 0
RX 20994111 232 230 b 1
RX 20994413 302 300 b 0
RX 20994643 230 230 b 1
RX 20994948 305 305 b 0
RX 20995158 210 210 b 1
RX 20996499 1341 1340 a 0
RX 20996731 232 230 b 1
RX 20997034 303 300 b 0
RX 20997264 230 230 b 1
RX 20998654 1390 1390 a 0
RX 20998891 237 235 b 1
RX 21000219 1328 1325 a 0
RX 21000451 232 230 b 1
RX 21000755 304 300 b 0
RX 21000983 228 225 b 1
RX 21002319 1336 1335 a 0
RX 21002555 236 235 b 1
RX 21002861 306 305 b 0
RX 21003092 231 230 b 1
RX 21004424 1332 1330 a 0
RX 21004663 239 235 b 1
RX 21004964 301 300 b 0
RX 21005197 233 230 b 1
RX 21005501 304 300 b 0
RX 21005732 231 230 b 1
RX 21007116 1384 1380 a 0
RX 21007359 243 240 b 1
RX 21008680 1321 1320 a 0
RX 21008929 249 245 b 1
RX 21009225 296 295 b 0
RX 21009465 240 240 b 1
RX 21010788 1323 1320 a 0
RX 21011039 251 250 b 1
RX 21011326 287 285 b 0
RX 21011571 245 245 b 1
RX 21012892 1321 1320 a 0
RX 21013149 257 255 b 1
RX 21013433 284 280 b 0
RX 21013684 251 250 b 1
RX 21013972 288 285 b 0
RX 21014220 248 245 b 1
RX 21015592 1372 1370 a 0
RX 21015857 265 265 b 1
RX 21017159 1302 1300 a 0
RX 21017429 270 270 b 1
RX 21017701 272 270 b 0
RX 21017964 263 260 b 1
RX 21018241 277 275 b 0
RX 21018497 256 255 b 1
RX 21019811 1314 1310 a 0
RX 21020087 276 275 b 1
RX 21021377 1290 1290 a 0
RX 21021664 287 285 b 1
RX 21021919 255 255 b 0
RX 21022193 274 270 b 1
RX 21023487 1294 1290 a 0
RX 21023780 293 290 b 1
RX 21024084 304 300 b 0
RX 21024363 279 275 b 1
RX 21025652 1289 1285 a 0
RX 21025950 298 295 b 1
RX 21026207 257 255 b 0
RX 21026467 260 260 b 1
RX 21027773 1306 1305 a 0
RX 21028070 297 295 b 1
RX 21028321 251 250 b 0
RX 21028586 265 265 b 1
RX 21029888 1302 1300 a 0
RX 21030186 298 295 b 1
RX 21030442 256 255 b 0
RX 21030715 273 270 b 1
RX 21032009 1294 1290 a 0
RX 21032305 296 295 b 1
RX 21032610 305 305 b 0
RX 21032899 289 285 b 1
RX 21034179 1280 1280 a 0
RX 21034476 297 295 b 1
RX 21034729 253 250 b 0
RX 21035024 295 295 b 1
RX 21035275 251 250 b 0
RX 21035571 296 295 b 1
RX 21036853 1282 1280 a 0
RX 21037149 296 295 b 1
RX 21038425 1276 1275 a 0
RX 21038720 295 295 b 1
RX 21038972 252 250 b 0
RX 21039270 298 295 b 1
RX 21040548 1278 1275 a 0
RX 21040842 294 290 b 1
RX 21041148 306 305 b 0
RX 21041446 298 295 b 1
RX 21042723 1277 1275 a 0
RX 21043018 295 295 b 1
RX 21043273 255 255 b 0
RX 21043569 296 295 b 1
RX 21043824 255 255 b 0
RX 21044119 295 295 b 1
RX 21045403 1284 1280 a 0
RX 21045697 294 290 b 1
RX 21045950 253 250 b 0
RX 21046246 296 295 b 1
RX 21047527 1281 1280 a 0
RX 21047820 293 290 b 1
RX 21049096 1276 1275 a 0
RX 21049390 294 290 b 1
RX 21049695 305 305 b 0
RX 21049992 297 295 b 1
RX 21051268 1276 1275 a 0
RX 21051561 293 290 b 1
RX 21051814 253 250 b 0
RX 21052109 295 295 b 1
RX 21053388 1279 1275 a 0
RX 21053680 292 290 b 1
RX 21053938 258 255 b 0
RX 21054232 294 290 b 1
RX 21055508 1276 1275 a 0
RX 21055801 293 290 b 1
RX 21056055 254 250 b 0
RX 21056348 293 290 b 1
RX 21057626 1278 1275 a 0
RX 21057917 291 290 b 1
RX 21058152 235 235 b 0
RX 21058411 259 255 b 1
RX 21068930 10519 10515 S 0
Code S0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1 fail 0
RX 21069214 284 280 b 1
RX 21071917 2703 2700 s 0
RX 21072209 292 290 b 1
RX 21073480 1271 1270 a 0
RX 21073774 294 290 b 1
RX 21074027 253 250 b 0
RX 21074320 293 290 b 1
RX 21075595 1275 1275 a 0
RX 21075885 290 290 b 1
RX 21076142 257 255 b 0
RX 21076435 293 290 b 1
RX 21076687 252 250 b 0
RX 21076982 295 295 b 1
RX 21078262 1280 1280 a 0
RX 21078554 292 290 b 1
RX 21078806 252 250 b 0
RX 21079098 292 290 b 1
RX 21080426 1328 1325 a 0
RX 21080717 291 290 b 1
RX 21081990 1273 1270 a 0
RX 21082281 291 290 b 1
RX 21082540 259 255 b 0
RX 21082833 293 290 b 1
RX 21084107 1274 1270 a 0
RX 21084398 291 290 b 1
RX 21084652 254 250 b 0
RX 21084944 292 290 b 1
RX 21086220 1276 1275 a 0
RX 21086510 290 290 b 1
RX 21086769 259 255 b 0
RX 21087057 288 285 b 1
RX 21087313 256 255 b 0
RX 21087604 291 290 b 1
RX 21088938 1334 1330 a 0
RX 21089226 288 285 b 1
RX 21090501 1275 1275 a 0
RX 21090791 290 290 b 1
RX 21091046 255 255 b 0
RX 21091339 293 290 b 1
RX 21092612 1273 1270 a 0
RX 21092902 290 290 b 1
RX 21093163 261 260 b 0
RX 21093453 290 290 b 1
RX 21094727 1274 1270 a 0
RX 21095017 290 290 b 1
RX 21095276 259 255 b 0
RX 21095566 290 290 b 1
RX 21095822 256 255 b 0
RX 21096111 289 285 b 1
RX 21097439 1328 1325 a 0
RX 21097727 288 285 b 1
RX 21099002 1275 1275 a 0
RX 21099290 288 285 b 1
RX 21099550 260 260 b 0
RX 21099838 288 285 b 1
RX 21100094 256 255 b 0
RX 21100384 290 290 b 1
RX 21101665 1281 1280 a 0
RX 21101953 288 285 b 1
RX 21103228 1275 1275 a 0
RX 21103517 289 285 b 1
RX 21103774 257 255 b 0
RX 21104062 288 285 b 1
RX 21105344 1282 1280 a 0
RX 21105631 287 285 b 1
RX 21105941 310 310 b 0
RX 21106229 288 285 b 1
RX 21107504 1275 1275 a 0
RX 21107790 286 285 b 1
RX 21108049 259 255 b 0
RX 21108337 288 285 b 1
RX 21109615 1278 1275 a 0
RX 21109902 287 285 b 1
RX 21110163 261 260 b 0
RX 21110453 290 290 b 1
RX 21111727 1274 1270 a 0
RX 21112015 288 285 b 1
RX 21112273 258 255 b 0
RX 21112561 288 285 b 1
RX 21113837 1276 1275 a 0
RX 21114124 287 285 b 1
RX 21114434 310 310 b 0
RX 21114722 288 285 b 1
RX 21115998 1276 1275 a 0
RX 21116285 287 285 b 1
RX 21116545 260 260 b 0
RX 21116832 287 285 b 1
RX 21117089 257 255 b 0
RX 21117377 288 285 b 1
RX 21118659 1282 1280 a 0
RX 21118945 286 285 b 1
RX 21120222 1277 1275 a 0
RX 21120508 286 285 b 1
RX 21120766 258 255 b 0
RX 21121053 287 285 b 1
RX 21122335 1282 1280 a 0
RX 21122619 284 280 b 1
RX 21122932 313 310 b 0
RX 21123218 286 285 b 1
RX 21124494 1276 1275 a 0
RX 21124783 289 285 b 1
RX 21125040 257 255 b 0
RX 21125328 288 285 b 1
RX 21125585 257 255 b 0
RX 21125872 287 285 b 1
RX 21127153 1281 1280 a 0
RX 21127437 284 280 b 1
RX 21127694 257 255 b 0
RX 21127981 287 285 b 1
RX 21129263 1282 1280 a 0
RX 21129549 286 285 b 1
RX 21130824 1275 1275 a 0
RX 21131111 287 285 b 1
RX 21131421 310 310 b 0
RX 21131707 286 285 b 1
RX 21132985 1278 1275 a 0
RX 21133270 285 285 b 1
RX 21133530 260 260 b 0
RX 21133816 286 285 b 1
RX 21135098 1282 1280 a 0
RX 21135382 284 280 b 1
RX 21135641 259 255 b 0
RX 21135928 287 285 b 1
RX 21137204 1276 1275 a 0
RX 21137491 287 285 b 1
RX 21137747 256 255 b 0
RX 21138035 288 285 b 1
RX 21139317 1282 1280 a 0
RX 21139605 288 285 b 1
RX 21139834 229 225 b 0
RX 21140094 260 260 b 1
