[0;32mI (79022) app_main: t=1605354938 8142000[0m
[0;32mI (80022) app_main: t=1605354939 8142000[0m
RX 80579768 7267643 7267640 S 0
Code S0b1s0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1 ok 0
RX 80580056 288 285 b 1
RX 80581330 1274 1270 a 0
RX 80581619 289 285 b 1
RX 80581874 255 255 b 0
RX 80582166 292 290 b 1
RX 80583445 1279 1275 a 0
RX 80583738 293 290 b 1
RX 80583993 255 255 b 0
RX 80584285 292 290 b 1
RX 80584539 254 250 b 0
RX 80584833 294 290 b 1
RX 80586105 1272 1270 a 0
RX 80586398 293 290 b 1
RX 80586651 253 250 b 0
RX 80586948 297 295 b 1
RX 80588277 1329 1325 a 0
RX 80588567 290 290 b 1
RX 80589843 1276 1275 a 0
RX 80590134 291 290 b 1
RX 80590388 254 250 b 0
RX 80590681 293 290 b 1
RX 80591957 1276 1275 a 0
RX 80592254 297 295 b 1
RX 80592511 257 255 b 0
RX 80592805 294 290 b 1
RX 80594077 1272 1270 a 0
RX 80594370 293 290 b 1
RX 80594625 255 255 b 0
RX 80594918 293 290 b 1
RX 80595165 247 245 b 0
RX 80595467 302 300 b 1
RX 80596797 1330 1330 a 0
RX 80597087 290 290 b 1
RX 80598362 1275 1275 a 0
RX 80598656 294 290 b 1
RX 80598916 260 260 b 0
RX 80599205 289 285 b 1
RX 80600484 1279 1275 a 0
RX 80600773 289 285 b 1
RX 80601032 259 255 b 0
RX 80601321 289 285 b 1
RX 80602602 1281 1280 a 0
RX 80602892 290 290 b 1
RX 80603149 257 255 b 0
RX 80603443 294 290 b 1
RX 80603699 256 255 b 0
RX 80603987 288 285 b 1
RX 80605326 1339 1335 a 0
RX 80605615 289 285 b 1
RX 80606895 1280 1280 a 0
RX 80607185 290 290 b 1
RX 80607441 256 255 b 0
RX 80607730 289 285 b 1
RX 80607990 260 260 b 0
RX 80608279 289 285 b 1
RX 80609560 1281 1280 a 0
RX 80609853 293 290 b 1
RX 80611131 1278 1275 a 0
RX 80611420 289 285 b 1
RX 80611675 255 255 b 0
RX 80611966 291 290 b 1
RX 80613248 1282 1280 a 0
RX 80613537 289 285 b 1
RX 80613845 308 305 b 0
RX 80614134 289 285 b 1
RX 80615415 1281 1280 a 0
RX 80615704 289 285 b 1
RX 80615969 265 265 b 0
RX 80616255 286 285 b 1
RX 80617534 1279 1275 a 0
RX 80617823 289 285 b 1
RX 80618080 257 255 b 0
RX 80618371 291 290 b 1
RX 80619654 1283 1280 a 0
RX 80619941 287 285 b 1
RX 80620201 260 260 b 0
RX 80620494 293 290 b 1
RX 80621769 1275 1275 a 0
RX 80622059 290 290 b 1
RX 80622370 311 310 b 0
RX 80622659 289 285 b 1
RX 80623938 1279 1275 a 0
RX 80624226 288 285 b 1
RX 80624487 261 260 b 0
RX 80624779 292 290 b 1
RX 80625038 259 255 b 0
RX 80625322 284 280 b 1
RX 80626607 1285 1285 a 0
RX 80626899 292 290 b 1
RX 80628174 1275 1275 a 0
RX 80628463 289 285 b 1
RX 80628719 256 255 b 0
RX 80629010 291 290 b 1
RX 80630289 1279 1275 a 0
RX 80630578 289 285 b 1
RX 80630890 312 310 b 0
RX 80631176 286 285 b 1
RX 80632458 1282 1280 a 0
RX 80632747 289 285 b 1
RX 80633004 257 255 b 0
RX 80633291 287 285 b 1
RX 80633550 259 255 b 0
RX 80633841 291 290 b 1
RX 80635117 1276 1275 a 0
RX 80635415 298 295 b 1
RX 80635674 259 255 b 0
RX 80635959 285 285 b 1
RX 80637241 1282 1280 a 0
RX 80637526 285 285 b 1
RX 80637785 259 255 b 0
RX 80638075 290 290 b 1
RX 80639410 1335 1335 a 0
RX 80639695 285 285 b 1
RX 80640973 1278 1275 a 0
RX 80641263 290 290 b 1
RX 80641520 257 255 b 0
RX 80641806 286 285 b 1
RX 80643086 1280 1280 a 0
RX 80643371 285 285 b 1
RX 80643634 263 260 b 0
RX 80643923 289 285 b 1
RX 80644179 256 255 b 0
RX 80644466 287 285 b 1
RX 80645750 1284 1280 a 0
RX 80646040 290 290 b 1
RX 80647316 1276 1275 a 0
RX 80647601 285 285 b 1
RX 80647839 238 235 b 0
RX 80648091 252 250 b 1
RX 80658604 10513 10510 S 0
Code S0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1 fail 0
RX 80658892 288 285 b 1
RX 80661589 2697 2695 s 0
RX 80661881 292 290 b 1
RX 80663157 1276 1275 a 0
RX 80663450 293 290 b 1
RX 80663701 251 250 b 0
RX 80663992 291 290 b 1
RX 80665267 1275 1275 a 0
RX 80665552 285 285 b 1
RX 80665809 257 255 b 0
RX 80666099 290 290 b 1
RX 80666357 258 255 b 0
RX 80666643 286 285 b 1
RX 80667922 1279 1275 a 0
RX 80668205 283 280 b 1
RX 80668470 265 265 b 0
RX 80668759 289 285 b 1
RX 80670086 1327 1325 a 0
RX 80670371 285 285 b 1
RX 80671646 1275 1275 a 0
RX 80671933 287 285 b 1
RX 80672190 257 255 b 0
RX 80672479 289 285 b 1
RX 80673757 1278 1275 a 0
RX 80674045 288 285 b 1
RX 80674298 253 250 b 0
RX 80674587 289 285 b 1
RX 80675867 1280 1280 a 0
RX 80676152 285 285 b 1
RX 80676408 256 255 b 0
RX 80676694 286 285 b 1
RX 80676953 259 255 b 0
RX 80677239 286 285 b 1
RX 80678566 1327 1325 a 0
RX 80678855 289 285 b 1
RX 80680132 1277 1275 a 0
RX 80680420 288 285 b 1
RX 80680674 254 250 b 0
RX 80680964 290 290 b 1
RX 80682238 1274 1270 a 0
RX 80682527 289 285 b 1
RX 80682782 255 255 b 0
RX 80683068 286 285 b 1
RX 80684350 1282 1280 a 0
RX 80684632 282 280 b 1
RX 80684889 257 255 b 0
RX 80685177 288 285 b 1
RX 80685433 256 255 b 0
RX 80685718 285 285 b 1
RX 80687045 1327 1325 a 0
RX 80687333 288 285 b 1
RX 80688607 1274 1270 a 0
RX 80688893 286 285 b 1
RX 80689149 256 255 b 0
RX 80689436 287 285 b 1
RX 80689695 259 255 b 0
RX 80689981 286 285 b 1
RX 80691259 1278 1275 a 0
RX 80691548 289 285 b 1
RX 80692818 1270 1270 a 0
RX 80693106 288 285 b 1
RX 80693361 255 255 b 0
RX 80693651 290 290 b 1
RX 80694931 1280 1280 a 0
RX 80695215 284 280 b 1
RX 80695525 310 310 b 0
RX 80695806 281 280 b 1
RX 80697080 1274 1270 a 0
RX 80697367 287 285 b 1
RX 80697624 257 255 b 0
RX 80697908 284 280 b 1
RX 80699186 1278 1275 a 0
RX 80699472 286 285 b 1
RX 80699732 260 260 b 0
[0;32mI (81022) app_main: t=1605354940 8124000[0m
RX 80700018 286 285 b 1
RX 80701290 1272 1270 a 0
RX 80701578 288 285 b 1
RX 80701833 255 255 b 0
RX 80702115 282 280 b 1
RX 80703393 1278 1275 a 0
RX 80703678 285 285 b 1
RX 80703986 308 305 b 0
RX 80704275 289 285 b 1
RX 80705545 1270 1270 a 0
RX 80705833 288 285 b 1
RX 80706090 257 255 b 0
RX 80706378 288 285 b 1
RX 80706634 256 255 b 0
RX 80706919 285 285 b 1
RX 80708196 1277 1275 a 0
RX 80708484 288 285 b 1
RX 80709754 1270 1270 a 0
RX 80710041 287 285 b 1
RX 80710299 258 255 b 0
RX 80710581 282 280 b 1
RX 80711862 1281 1280 a 0
RX 80712146 284 280 b 1
RX 80712454 308 305 b 0
RX 80712742 288 285 b 1
RX 80714016 1274 1270 a 0
RX 80714300 284 280 b 1
RX 80714557 257 255 b 0
RX 80714841 284 280 b 1
RX 80715093 252 250 b 0
RX 80715383 290 290 b 1
RX 80716659 1276 1275 a 0
RX 80716943 284 280 b 1
RX 80717200 257 255 b 0
RX 80717488 288 285 b 1
RX 80718767 1279 1275 a 0
RX 80719048 281 280 b 1
RX 80719307 259 255 b 0
RX 80719593 286 285 b 1
RX 80720916 1323 1320 a 0
RX 80721201 285 285 b 1
RX 80722474 1273 1270 a 0
RX 80722759 285 285 b 1
RX 80723019 260 260 b 0
RX 80723304 285 285 b 1
RX 80724577 1273 1270 a 0
RX 80724861 284 280 b 1
RX 80725125 264 260 b 0
RX 80725404 279 275 b 1
RX 80725660 256 255 b 0
RX 80725948 288 285 b 1
RX 80727224 1276 1275 a 0
RX 80727512 288 285 b 1
RX 80728781 1269 1265 a 0
RX 80729069 288 285 b 1
RX 80729315 246 245 b 0
RX 80729551 236 235 b 1
RX 80740032 10481 10480 S 0
Code S0b1s0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1 ok 0
RX 80740312 280 280 b 1
RX 80743009 2697 2695 s 0
RX 80743295 286 285 b 1
RX 80744563 1268 1265 a 0
RX 80744848 285 285 b 1
RX 80745109 261 260 b 0
RX 80745397 288 285 b 1
RX 80746667 1270 1270 a 0
RX 80746953 286 285 b 1
RX 80747208 255 255 b 0
RX 80747493 285 285 b 1
RX 80747749 256 255 b 0
RX 80748034 285 285 b 1
RX 80749309 1275 1275 a 0
RX 80749593 284 280 b 1
RX 80749849 256 255 b 0
RX 80750135 286 285 b 1
RX 80751460 1325 1325 a 0
RX 80751748 288 285 b 1
RX 80753016 1268 1265 a 0
RX 80753304 288 285 b 1
RX 80753555 251 250 b 0
RX 80753843 288 285 b 1
RX 80755112 1269 1265 a 0
RX 80755401 289 285 b 1
RX 80755661 260 260 b 0
RX 80755945 284 280 b 1
RX 80757218 1273 1270 a 0
RX 80757504 286 285 b 1
