[0;32mI (442926) app_main: t=1605635635 16080000[0m
[0;32mI (443916) app_main: t=1605635636 6080000[0m
[0;32mI (444916) app_main: t=1605635637 6080000[0m
RX 445126233 13751420 13751420 S 0
Code S1 fail 
RX 445126281 48 45 . 1
RX 445130445 4164 4160 . 0
RX 445136229 5784 5780 . 0
RX 445136296 67 65 . 1
RX 445140427 4131 4130 . 0
RX 445140489 62 60 . 1
RX 445146762 6273 6270 . 0
RX 445146833 71 70 . 1
RX 445151540 4707 4705 . 0
RX 445151612 72 70 . 1
RX 445155742 4130 4130 . 0
RX 445155805 63 60 . 1
RX 445161541 5736 5735 . 0
RX 445161637 96 95 . 1
RX 445165732 4095 4095 . 0
RX 445165813 81 80 . 1
RX 445170511 4698 4695 . 0
RX 445170611 100 100 . 1
RX 445171076 465 465 . 0
RX 445171141 65 65 . 1
RX 445174205 3064 3060 . 0
RX 445174273 68 65 . 1
RX 445174739 466 465 . 0
RX 445174812 73 70 . 1
RX 445176265 1453 1450 . 0
RX 445176368 103 100 . 1
RX 445176849 481 480 . 0
RX 445176945 96 95 . 1
RX 445178416 1471 1470 . 0
RX 445178515 99 95 . 1
RX 445178942 427 425 . 0
RX 445179042 100 100 . 1
RX 445179483 441 440 . 0
RX 445179570 87 85 . 1
RX 445189504 9934 9930 . 0
RX 445189550 46 45 . 1
RX 445191069 1519 1515 . 0
RX 445191089 20 20 . 1
RX 445193165 2076 2075 . 0
RX 445193184 19 15 . 1
RX 445193669 485 485 . 0
RX 445193707 38 35 . 1
RX 445204505 10798 10795 S 0
Code S0.1.0.0.1.0.1.0.1.0.1.0.1.0.1.0.1.0.1.0.1.0.1.0.1.0.1.0.1.0.1.0.1.0.1.0.1.0.1.0.1.0.1 fail 
RX 445204611 106 105 . 1
RX 445207502 2891 2890 . 0
RX 445207624 122 120 . 1
RX 445209058 1434 1430 . 0
RX 445209190 132 130 . 1
RX 445209589 399 395 . 0
RX 445209736 147 145 . 1
RX 445211150 1414 1410 . 0
RX 445211303 153 150 . 1
RX 445211686 383 380 . 0
RX 445211821 135 135 . 1
RX 445212216 395 395 . 0
RX 445212361 145 145 . 1
RX 445213784 1423 1420 . 0
RX 445213941 157 155 . 1
RX 445214312 371 370 . 0
RX 445214475 163 160 . 1
RX 445215928 1453 1450 . 0
RX 445216094 166 165 . 1
RX 445217485 1391 1390 a 0
RX 445217657 172 170 . 1
RX 445218025 368 365 . 0
RX 445218187 162 160 . 1
RX 445219582 1395 1395 a 0
RX 445219764 182 180 . 1
RX 445220117 353 350 . 0
RX 445220290 173 170 . 1
RX 445221681 1391 1390 a 0
RX 445221860 179 175 . 1
RX 445222218 358 355 . 0
RX 445222393 175 175 . 1
RX 445222750 357 355 . 0
RX 445222927 177 175 . 1
RX 445224365 1438 1435 . 0
RX 445224555 190 190 b 1
RX 445225927 1372 1370 a 0
RX 445226124 197 195 b 1
RX 445226461 337 335 . 0
RX 445226654 193 190 b 1
RX 445228024 1370 1370 a 0
RX 445228224 200 200 b 1
RX 445228566 342 340 . 0
RX 445228758 192 190 b 1
RX 445230126 1368 1365 a 0
RX 445230333 207 205 b 1
RX 445230662 329 325 b 0
RX 445230860 198 195 b 1
RX 445231202 342 340 . 0
RX 445231397 195 195 b 1
RX 445232812 1415 1415 . 0
RX 445233025 213 210 b 1
RX 445234375 1350 1350 a 0
RX 445234594 219 215 b 1
RX 445234914 320 320 b 0
RX 445235127 213 210 b 1
RX 445235455 328 325 b 0
RX 445235658 203 200 b 1
RX 445237017 1359 1355 a 0
RX 445237241 224 220 b 1
RX 445238582 1341 1340 a 0
RX 445238812 230 230 b 1
RX 445239117 305 305 b 0
RX 445239341 224 220 b 1
RX 445240688 1347 1345 a 0
RX 445240925 237 235 b 1
RX 445241280 355 355 . 0
RX 445241504 224 220 b 1
RX 445242843 1339 1335 a 0
RX 445243089 246 245 b 1
RX 445243382 293 290 b 0
RX 445243611 229 225 b 1
RX 445244947 1336 1335 a 0
RX 445245193 246 245 b 1
RX 445245491 298 295 b 0
RX 445245724 233 230 b 1
RX 445247054 1330 1330 a 0
RX 445247310 256 255 b 1
RX 445247595 285 285 b 0
RX 445247834 239 235 b 1
RX 445249161 1327 1325 a 0
RX 445249417 256 255 b 1
RX 445249756 339 335 . 0
RX 445250002 246 245 b 1
RX 445251321 1319 1315 a 0
RX 445251589 268 265 b 1
RX 445251866 277 275 b 0
RX 445252116 250 250 b 1
RX 445252408 292 290 b 0
RX 445252655 247 245 b 1
RX 445253975 1320 1320 a 0
RX 445254248 273 270 b 1
RX 445255542 1294 1290 a 0
RX 445255819 277 275 b 1
RX 445256091 272 270 b 0
RX 445256322 231 230 b 1
RX 445257659 1337 1335 a 0
RX 445257935 276 275 b 1
RX 445258260 325 325 b 0
RX 445258501 241 240 b 1
RX 445259825 1324 1320 a 0
RX 445260104 279 275 b 1
RX 445260376 272 270 b 0
RX 445260615 239 235 b 1
RX 445260914 299 295 b 0
RX 445261175 261 260 b 1
RX 445262481 1306 1305 a 0
RX 445262758 277 275 b 1
RX 445263029 271 270 b 0
RX 445263279 250 250 b 1
RX 445264597 1318 1315 a 0
RX 445264873 276 275 b 1
RX 445266170 1297 1295 a 0
RX 445266448 278 275 b 1
RX 445266772 324 320 b 0
RX 445267037 265 265 b 1
RX 445268337 1300 1300 a 0
RX 445268615 278 275 b 1
RX 445268887 272 270 b 0
RX 445269146 259 255 b 1
RX 445270456 1310 1310 a 0
RX 445270735 279 275 b 1
RX 445271004 269 265 b 0
RX 445271271 267 265 b 1
RX 445272568 1297 1295 a 0
RX 445272849 281 280 b 1
RX 445273118 269 265 b 0
RX 445273390 272 270 b 1
RX 445274689 1299 1295 a 0
RX 445274966 277 275 b 1
RX 445275213 247 245 b 0
RX 445275464 251 250 b 1
RX 445285997 10533 10530 S 0
Code S0.1.0.1.0.1.0.1.0.1.0.1.0.1.0.1.0.1.0.1a0.1.0.1a0.1.0.1a0.1.0.1.0.1.0b1a0b1.0b1a0b1.0b1a0b1b0b1.0b1.0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1.0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1.0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1 fail 
RX 445286271 274 270 b 1
RX 445288989 2718 2715 s 0
RX 445289272 283 280 b 1
RX 445290558 1286 1285 a 0
RX 445290838 280 280 b 1
RX 445291103 265 265 b 0
RX 445291387 284 280 b 1
RX 445292676 1289 1285 a 0
RX 445292957 281 280 b 1
RX 445293225 268 265 b 0
RX 445293509 284 280 b 1
RX 445293775 266 265 b 0
RX 445294060 285 285 b 1
RX 445295350 1290 1290 a 0
RX 445295632 282 280 b 1
RX 445295896 264 260 b 0
RX 445296183 287 285 b 1
RX 445297519 1336 1335 a 0
RX 445297804 285 285 b 1
RX 445299088 1284 1280 a 0
RX 445299372 284 280 b 1
RX 445299639 267 265 b 0
RX 445299923 284 280 b 1
RX 445301208 1285 1285 a 0
RX 445301492 284 280 b 1
RX 445301753 261 260 b 0
RX 445302038 285 285 b 1
RX 445303324 1286 1285 a 0
RX 445303610 286 285 b 1
RX 445303872 262 260 b 0
RX 445304160 288 285 b 1
RX 445304422 262 260 b 0
RX 445304708 286 285 b 1
RX 445306049 1341 1340 a 0
RX 445306332 283 280 b 1
RX 445307613 1281 1280 a 0
RX 445307898 285 285 b 1
RX 445308160 262 260 b 0
RX 445308448 288 285 b 1
RX 445309729 1281 1280 a 0
RX 445310016 287 285 b 1
RX 445310281 265 265 b 0
RX 445310569 288 285 b 1
RX 445311848 1279 1275 a 0
RX 445312134 286 285 b 1
RX 445312398 264 260 b 0
RX 445312684 286 285 b 1
RX 445312945 261 260 b 0
RX 445313230 285 285 b 1
RX 445314567 1337 1335 a 0
RX 445314850 283 280 b 1
RX 445316132 1282 1280 a 0
RX 445316420 288 285 b 1
RX 445316683 263 260 b 0
RX 445316970 287 285 b 1
RX 445317227 257 255 b 0
RX 445317515 288 285 b 1
RX 445318799 1284 1280 a 0
RX 445319089 290 290 b 1
RX 445320365 1276 1275 a 0
RX 445320651 286 285 b 1
RX 445320911 260 260 b 0
RX 445321200 289 285 b 1
RX 445322484 1284 1280 a 0
RX 445322772 288 285 b 1
RX 445323082 310 310 b 0
RX 445323371 289 285 b 1
RX 445324649 1278 1275 a 0
RX 445324934 285 285 b 1
RX 445325195 261 260 b 0
RX 445325482 287 285 b 1
RX 445326763 1281 1280 a 0
RX 445327048 285 285 b 1
RX 445327314 266 265 b 0
RX 445327601 287 285 b 1
RX 445328882 1281 1280 a 0
RX 445329167 285 285 b 1
RX 445329426 259 255 b 0
RX 445329715 289 285 b 1
RX 445330995 1280 1280 a 0
RX 445331281 286 285 b 1
RX 445331592 311 310 b 0
RX 445331878 286 285 b 1
RX 445333161 1283 1280 a 0
RX 445333447 286 285 b 1
RX 445333707 260 260 b 0
RX 445333996 289 285 b 1
RX 445334254 258 255 b 0
RX 445334544 290 290 b 1
RX 445335825 1281 1280 a 0
RX 445336115 290 290 b 1
RX 445337392 1277 1275 a 0
RX 445337678 286 285 b 1
RX 445337936 258 255 b 0
RX 445338224 288 285 b 1
RX 445339509 1285 1285 a 0
