[0;32mI (56192) app_main: t=1605354915 178142000[0m
[0;32mI (57182) app_main: t=1605354916 168142000[0m
RX 57336320 5837585 5837585 S 0
Code S0b1s0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1 ok 0
RX 57336593 273 270 b 1
RX 57337896 1303 1300 a 0
RX 57338166 270 270 b 1
RX 57338441 275 275 b 0
RX 57338710 269 265 b 1
RX 57340008 1298 1295 a 0
RX 57340259 251 250 b 1
RX 57340559 300 300 b 0
RX 57340815 256 255 b 1
RX 57341104 289 285 b 0
RX 57341364 260 260 b 1
RX 57342674 1310 1310 a 0
RX 57342936 262 260 b 1
RX 57343226 290 290 b 0
RX 57343482 256 255 b 1
RX 57344843 1361 1360 a 0
RX 57345110 267 265 b 1
RX 57346411 1301 1300 a 0
RX 57346672 261 260 b 1
RX 57346961 289 285 b 0
RX 57347222 261 260 b 1
RX 57348535 1313 1310 a 0
RX 57348795 260 260 b 1
RX 57349081 286 285 b 0
RX 57349340 259 255 b 1
RX 57350650 1310 1310 a 0
RX 57350909 259 255 b 1
RX 57351201 292 290 b 0
RX 57351459 258 255 b 1
RX 57351748 289 285 b 0
RX 57352012 264 260 b 1
RX 57353369 1357 1355 a 0
RX 57353630 261 260 b 1
RX 57354944 1314 1310 a 0
RX 57355204 260 260 b 1
RX 57355497 293 290 b 0
RX 57355752 255 255 b 1
RX 57357062 1310 1310 a 0
RX 57357319 257 255 b 1
RX 57357610 291 290 b 0
RX 57357866 256 255 b 1
RX 57359182 1316 1315 a 0
RX 57359446 264 260 b 1
RX 57359735 289 285 b 0
RX 57359988 253 250 b 1
RX 57360282 294 290 b 0
RX 57360543 261 260 b 1
RX 57361901 1358 1355 a 0
RX 57362160 259 255 b 1
RX 57363469 1309 1305 a 0
RX 57363733 264 260 b 1
RX 57364019 286 285 b 0
RX 57364283 264 260 b 1
RX 57364567 284 280 b 0
RX 57364833 266 265 b 1
RX 57366141 1308 1305 a 0
RX 57366402 261 260 b 1
RX 57367707 1305 1305 a 0
RX 57367971 264 260 b 1
RX 57368260 289 285 b 0
RX 57368522 262 260 b 1
RX 57369829 1307 1305 a 0
RX 57370091 262 260 b 1
RX 57370428 337 335 . 0
RX 57370692 264 260 b 1
RX 57371997 1305 1305 a 0
RX 57372260 263 260 b 1
RX 57372546 286 285 b 0
RX 57372806 260 260 b 1
RX 57374116 1310 1310 a 0
RX 57374379 263 260 b 1
RX 57374665 286 285 b 0
RX 57374930 265 265 b 1
RX 57376234 1304 1300 a 0
RX 57376494 260 260 b 1
RX 57376781 287 285 b 0
RX 57377045 264 260 b 1
RX 57378349 1304 1300 a 0
RX 57378614 265 265 b 1
RX 57378953 339 335 . 0
RX 57379214 261 260 b 1
RX 57380519 1305 1305 a 0
RX 57380783 264 260 b 1
RX 57381068 285 285 b 0
RX 57381329 261 260 b 1
RX 57381615 286 285 b 0
RX 57381880 265 265 b 1
RX 57383185 1305 1305 a 0
RX 57383448 263 260 b 1
RX 57384753 1305 1305 a 0
RX 57385013 260 260 b 1
RX 57385298 285 285 b 0
RX 57385563 265 265 b 1
RX 57386871 1308 1305 a 0
RX 57387136 265 265 b 1
RX 57387470 334 330 . 0
RX 57387735 265 265 b 1
RX 57389036 1301 1300 a 0
RX 57389295 259 255 b 1
RX 57389584 289 285 b 0
RX 57389849 265 265 b 1
RX 57390132 283 280 b 0
RX 57390393 261 260 b 1
RX 57391697 1304 1300 a 0
RX 57391960 263 260 b 1
RX 57392247 287 285 b 0
RX 57392509 262 260 b 1
RX 57393814 1305 1305 a 0
RX 57394078 264 260 b 1
RX 57394358 280 280 b 0
RX 57394622 264 260 b 1
RX 57395975 1353 1350 a 0
RX 57396238 263 260 b 1
RX 57397542 1304 1300 a 0
RX 57397803 261 260 b 1
RX 57398090 287 285 b 0
RX 57398355 265 265 b 1
RX 57399656 1301 1300 a 0
RX 57399921 265 265 b 1
RX 57400201 280 280 b 0
RX 57400466 265 265 b 1
RX 57401767 1301 1300 a 0
RX 57402029 262 260 b 1
RX 57402313 284 280 b 0
RX 57402579 266 265 b 1
RX 57402859 280 280 b 0
RX 57403124 265 265 b 1
RX 57404400 1276 1275 a 0
RX 57404637 237 235 b 1
RX 57415166 10529 10525 S 0
Code S0b1a0b1b0b1a0b1b0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1.0b1a0b1b0b1a0b1b0b1a0b1b0b1a0b1.0b1a0b1b0b1b0b1a0b1a0b1b0b1a0b1.0b1a0b1b0b1b0b1a0b1b0b1a0b1b0b1a0b1a0b1b0b1a0b1b0b1a0b1b0b1b0b1a0b1 fail 0
RX 57415427 261 260 b 1
RX 57418148 2721 2720 s 0
RX 57418415 267 265 b 1
RX 57419713 1298 1295 a 0
RX 57419980 267 265 b 1
RX 57420256 276 275 b 0
RX 57420522 266 265 b 1
RX 57421819 1297 1295 a 0
RX 57422084 265 265 b 1
RX 57422360 276 275 b 0
RX 57422630 270 270 b 1
RX 57422908 278 275 b 0
RX 57423178 270 270 b 1
RX 57424474 1296 1295 a 0
RX 57424744 270 270 b 1
RX 57425017 273 270 b 0
RX 57425286 269 265 b 1
RX 57426631 1345 1345 a 0
RX 57426896 265 265 b 1
RX 57428192 1296 1295 a 0
RX 57428460 268 265 b 1
RX 57428741 281 280 b 0
RX 57429012 271 270 b 1
RX 57430303 1291 1290 a 0
RX 57430569 266 265 b 1
RX 57430846 277 275 b 0
RX 57431112 266 265 b 1
RX 57432410 1298 1295 a 0
RX 57432676 266 265 b 1
RX 57432952 276 275 b 0
RX 57433220 268 265 b 1
RX 57433500 280 280 b 0
RX 57433761 261 260 b 1
RX 57435111 1350 1350 a 0
RX 57435382 271 270 b 1
RX 57436672 1290 1290 a 0
RX 57436941 269 265 b 1
RX 57437216 275 275 b 0
RX 57437480 264 260 b 1
RX 57438778 1298 1295 a 0
RX 57439044 266 265 b 1
RX 57439327 283 280 b 0
RX 57439593 266 265 b 1
RX 57440884 1291 1290 a 0
RX 57441153 269 265 b 1
RX 57441430 277 275 b 0
RX 57441699 269 265 b 1
RX 57441974 275 275 b 0
RX 57442242 268 265 b 1
RX 57443584 1342 1340 a 0
RX 57443853 269 265 b 1
RX 57445147 1294 1290 a 0
RX 57445412 265 265 b 1
RX 57445690 278 275 b 0
RX 57445957 267 265 b 1
RX 57446231 274 270 b 0
RX 57446498 267 265 b 1
RX 57447798 1300 1300 a 0
RX 57448063 265 265 b 1
RX 57449355 1292 1290 a 0
RX 57449626 271 270 b 1
RX 57449897 271 270 b 0
RX 57450168 271 270 b 1
RX 57451462 1294 1290 a 0
RX 57451732 270 270 b 1
RX 57452061 329 325 b 0
RX 57452322 261 260 b 1
RX 57453618 1296 1295 a 0
RX 57453884 266 265 b 1
RX 57454158 274 270 b 0
RX 57454424 266 265 b 1
RX 57455719 1295 1295 a 0
RX 57455988 269 265 b 1
RX 57456265 277 275 b 0
RX 57456530 265 265 b 1
RX 57457821 1291 1290 a 0
RX 57458090 269 265 b 1
RX 57458366 276 275 b 0
RX 57458630 264 260 b 1
RX 57459930 1300 1300 a 0
RX 57460190 260 260 b 1
RX 57460518 328 325 b 0
RX 57460784 266 265 b 1
RX 57462081 1297 1295 a 0
RX 57462346 265 265 b 1
RX 57462622 276 275 b 0
RX 57462887 265 265 b 1
RX 57463166 279 275 b 0
RX 57463430 264 260 b 1
RX 57464726 1296 1295 a 0
RX 57464995 269 265 b 1
RX 57466286 1291 1290 a 0
